2023/05/04 13:03:15.519 => OpenSerial: Com=6 BaudRate=256000, Success=1
2023/05/04 13:03:15.527 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.527 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.649 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.649 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.656 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2023/05/04 13:03:15.656 => GetVersion Return: v1.4.4_32772.0
2023/05/04 13:03:20.141 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.141 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.270 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.270 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.776 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2023/05/04 13:03:20.783 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2023/05/04 13:03:20.791 => thread information, name=ABDData, tid=41736(0x0000a308)
2023/05/04 13:03:20.791 => thread create success, thread handle=0x000005ac, id=41736, name=ABDData
2023/05/04 13:03:25.613 => State=3, M_D=134, M_S=100, ML_D=152, ML_S=100, R_D=074
2023/05/04 13:03:25.710 => State=3, M_D=157, M_S=100, ML_D=134, ML_S=100, R_D=082
2023/05/04 13:03:25.810 => State=3, M_D=084, M_S=100, ML_D=157, ML_S=100, R_D=080
2023/05/04 13:03:25.914 => State=3, M_D=049, M_S=100, ML_D=084, ML_S=100, R_D=074
2023/05/04 13:03:26.013 => State=3, M_D=077, M_S=100, ML_D=049, ML_S=100, R_D=072
2023/05/04 13:03:26.111 => State=3, M_D=056, M_S=100, ML_D=077, ML_S=100, R_D=068
2023/05/04 13:03:26.213 => State=3, M_D=052, M_S=100, ML_D=056, ML_S=100, R_D=064
2023/05/04 13:03:26.313 => State=3, M_D=067, M_S=100, ML_D=052, ML_S=100, R_D=062
2023/05/04 13:03:26.410 => State=3, M_D=140, M_S=100, ML_D=067, ML_S=100, R_D=070
2023/05/04 13:03:26.511 => State=3, M_D=123, M_S=100, ML_D=140, ML_S=100, R_D=075
2023/05/04 13:03:26.610 => State=3, M_D=060, M_S=100, ML_D=123, ML_S=100, R_D=071
2023/05/04 13:03:26.713 => State=3, M_D=065, M_S=100, ML_D=060, ML_S=100, R_D=068
2023/05/04 13:03:26.812 => State=3, M_D=065, M_S=100, ML_D=065, ML_S=100, R_D=066
2023/05/04 13:03:26.910 => State=3, M_D=077, M_S=100, ML_D=065, ML_S=100, R_D=065
2023/05/04 13:03:27.013 => State=3, M_D=076, M_S=100, ML_D=077, ML_S=100, R_D=064
2023/05/04 13:03:27.114 => State=3, M_D=047, M_S=100, ML_D=076, ML_S=100, R_D=059
2023/05/04 13:03:27.213 => State=3, M_D=077, M_S=100, ML_D=047, ML_S=100, R_D=059
2023/05/04 13:03:27.313 => State=3, M_D=081, M_S=100, ML_D=077, ML_S=100, R_D=060
2023/05/04 13:03:27.413 => State=3, M_D=080, M_S=100, ML_D=081, ML_S=100, R_D=061
2023/05/04 13:03:27.511 => State=3, M_D=030, M_S=100, ML_D=080, ML_S=100, R_D=055
2023/05/04 13:03:27.610 => State=2, M_D=169, M_S=100, ML_D=030, ML_S=100, R_D=067
2023/05/04 13:03:27.713 => State=2, M_D=030, M_S=100, ML_D=169, ML_S=100, R_D=060
2023/05/04 13:03:27.813 => State=3, M_D=063, M_S=100, ML_D=030, ML_S=100, R_D=058
2023/05/04 13:03:27.913 => State=3, M_D=093, M_S=100, ML_D=063, ML_S=100, R_D=060
2023/05/04 13:03:28.010 => State=3, M_D=103, M_S=100, ML_D=093, ML_S=100, R_D=063
2023/05/04 13:03:28.110 => State=3, M_D=117, M_S=100, ML_D=103, ML_S=100, R_D=067
2023/05/04 13:03:28.213 => State=3, M_D=143, M_S=100, ML_D=117, ML_S=100, R_D=074
2023/05/04 13:03:28.310 => State=3, M_D=090, M_S=100, ML_D=143, ML_S=100, R_D=074
2023/05/04 13:03:28.413 => State=3, M_D=077, M_S=100, ML_D=090, ML_S=100, R_D=072
