2023/05/04 12:20:56.151 => OpenSerial: Com=6 BaudRate=256000, Success=1
2023/05/04 12:20:56.158 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 12:20:56.158 => protocol version = 1, send_recv buffer size = 64
2023/05/04 12:20:56.291 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 12:20:56.291 => protocol version = 1, send_recv buffer size = 64
2023/05/04 12:20:56.298 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2023/05/04 12:20:56.298 => GetVersion Return: v1.4.4_32772.0
2023/05/04 12:20:58.664 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 12:20:58.664 => protocol version = 1, send_recv buffer size = 64
2023/05/04 12:20:58.798 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 12:20:58.798 => protocol version = 1, send_recv buffer size = 64
2023/05/04 12:20:59.426 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2023/05/04 12:20:59.433 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2023/05/04 12:20:59.438 => thread create success, thread handle=0x00000598, id=37456, name=ABDData
2023/05/04 12:20:59.438 => thread information, name=ABDData, tid=37456(0x00009250)
2023/05/04 12:20:59.516 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=022, R_D=000
2023/05/04 12:20:59.614 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=022, R_D=000
2023/05/04 12:20:59.715 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=023, R_D=000
2023/05/04 12:20:59.818 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=023, R_D=000
2023/05/04 12:20:59.914 => State=1, M_D=030, M_S=053, ML_D=030, ML_S=023, R_D=000
2023/05/04 12:21:00.014 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=023, R_D=000
2023/05/04 12:21:00.114 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=023, R_D=000
2023/05/04 12:21:00.214 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=024, R_D=000
2023/05/04 12:21:00.315 => State=2, M_D=030, M_S=000, ML_D=030, ML_S=024, R_D=000
2023/05/04 12:21:00.414 => State=1, M_D=030, M_S=100, ML_D=030, ML_S=024, R_D=000
2023/05/04 12:21:00.517 => State=1, M_D=030, M_S=100, ML_D=030, ML_S=041, R_D=000
2023/05/04 12:21:00.617 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2023/05/04 12:21:00.717 => State=3, M_D=043, M_S=100, ML_D=030, ML_S=100, R_D=000
2023/05/04 12:21:00.814 => State=3, M_D=052, M_S=100, ML_D=043, ML_S=100, R_D=000
2023/05/04 12:21:00.914 => State=3, M_D=053, M_S=100, ML_D=052, ML_S=100, R_D=000
2023/05/04 12:21:01.014 => State=3, M_D=030, M_S=100, ML_D=053, ML_S=100, R_D=000
