2022/06/24 18:23:09.210 => OpenSerial: Com=16 BaudRate=256000, Success=1
2022/06/24 18:23:09.216 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:09.216 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:09.333 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:09.333 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:09.338 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2022/06/24 18:23:09.338 => GetVersion Return: v1.4.4_32772.0
2022/06/24 18:23:14.916 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:14.916 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:15.032 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/24 18:23:15.032 => protocol version = 1, send_recv buffer size = 64
2022/06/24 18:23:15.597 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2022/06/24 18:23:15.602 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2022/06/24 18:23:15.613 => thread information, name=ABDData, tid=5796(0x000016a4)
2022/06/24 18:23:15.625 => thread create success, thread handle=0x0000088c, id=5796, name=ABDData
2022/06/24 18:23:19.904 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=100, R_D=037
2022/06/24 18:23:19.955 => State=3, M_D=030, M_S=099, ML_D=000, ML_S=100, R_D=034
2022/06/24 18:23:20.071 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.185 => State=3, M_D=042, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.236 => State=3, M_D=067, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.352 => State=3, M_D=061, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.467 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.518 => State=3, M_D=045, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.578 => State=3, M_D=057, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.711 => State=3, M_D=058, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.825 => State=3, M_D=070, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.876 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/24 18:23:20.948 => Cancel Read Data
2022/06/24 18:23:20.948 => prepare exit thread..., name=ABDData, tid=5796(0x000016a4)
2022/06/24 18:23:20.977 => thread exit, name=ABDData, tid=5796(0x000016a4)
2022/06/24 18:23:20.977 => thread exit over, name=ABDData, tid=5796(0x000016a4)
2022/06/24 18:23:21.891 => Cancel Read Data
