2022/06/30 11:36:59.272 => OpenSerial: Com=16 BaudRate=256000, Success=1
2022/06/30 11:36:59.309 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.309 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.414 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.415 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.431 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2022/06/30 11:36:59.431 => GetVersion Return: v1.4.4_32772.0
2022/06/30 11:37:00.654 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.654 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:00.772 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.772 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:01.332 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2022/06/30 11:37:01.337 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2022/06/30 11:37:01.351 => thread create success, thread handle=0x00000870, id=18228, name=ABDData
2022/06/30 11:37:01.351 => thread information, name=ABDData, tid=18228(0x00004734)
2022/06/30 11:37:05.681 => State=3, M_D=030, M_S=093, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.796 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.847 => State=3, M_D=078, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:05.962 => State=3, M_D=077, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.011 => State=3, M_D=071, M_S=100, ML_D=000, ML_S=100, R_D=032
2022/06/30 11:37:06.061 => State=3, M_D=060, M_S=100, ML_D=000, ML_S=100, R_D=033
2022/06/30 11:37:06.176 => State=3, M_D=063, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:06.292 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:06.341 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.456 => State=3, M_D=030, M_S=062, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.571 => State=3, M_D=055, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.685 => State=3, M_D=076, M_S=081, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:06.798 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.849 => State=3, M_D=052, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:06.965 => State=3, M_D=052, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:07.079 => State=3, M_D=074, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:07.131 => State=3, M_D=076, M_S=100, ML_D=000, ML_S=100, R_D=037
2022/06/30 11:37:07.186 => State=3, M_D=074, M_S=069, ML_D=000, ML_S=100, R_D=040
2022/06/30 11:37:07.301 => State=3, M_D=065, M_S=100, ML_D=000, ML_S=100, R_D=041
2022/06/30 11:37:07.396 => State=3, M_D=054, M_S=100, ML_D=000, ML_S=100, R_D=040
2022/06/30 11:37:07.511 => State=3, M_D=040, M_S=100, ML_D=000, ML_S=100, R_D=038
2022/06/30 11:37:07.607 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=035
2022/06/30 11:37:07.722 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=032
2022/06/30 11:37:07.772 => State=3, M_D=039, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:07.886 => State=3, M_D=030, M_S=074, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:08.001 => State=3, M_D=059, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:08.051 => State=3, M_D=075, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:08.108 => State=3, M_D=073, M_S=100, ML_D=000, ML_S=100, R_D=037
2022/06/30 11:37:08.224 => State=3, M_D=072, M_S=100, ML_D=000, ML_S=100, R_D=040
2022/06/30 11:37:08.293 => State=3, M_D=069, M_S=100, ML_D=000, ML_S=100, R_D=041
2022/06/30 11:37:08.353 => State=3, M_D=068, M_S=100, ML_D=000, ML_S=100, R_D=042
2022/06/30 11:37:08.403 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=038
2022/06/30 11:37:08.518 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=035
2022/06/30 11:37:08.635 => State=3, M_D=049, M_S=100, ML_D=000, ML_S=100, R_D=035
2022/06/30 11:37:08.685 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=032
2022/06/30 11:37:08.800 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:08.916 => State=3, M_D=055, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:08.968 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.083 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.197 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.249 => State=3, M_D=061, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.364 => State=3, M_D=058, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.479 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.530 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.646 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.760 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.876 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:09.989 => State=3, M_D=041, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.041 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.156 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.271 => State=3, M_D=072, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.371 => State=3, M_D=049, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.486 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.537 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:10.653 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
